"...1","...2","game_str","play_id","timestamp","p_field_x","p_field_y","c_field_x","c_field_y","1b_field_x","1b_field_y","2b_field_x","2b_field_y","3b_field_x","3b_field_y","ss_field_x","ss_field_y","lf_field_x","lf_field_y","cf_field_x","cf_field_y","rf_field_x","rf_field_y","bat_field_x","bat_field_y","run1b_field_x","run1b_field_y","run2b_field_x","run2b_field_y","run3b_field_x","run3b_field_y","ball_position_x","ball_position_y","ball_position_z","at_bat.x","play_per_game","event_player","event_code","home_team","away_team","at_bat.y","inning","top_bottom_inning","pitcher","catcher","first_base","second_base","third_base","shortstop","left_field","center_field","right_field","batter","first_baserunner","second_baserunner","third_baserunner","team_bat","team_fld","game_play","ball_pos_x_3","ball_pos_x_2","ball_pos_y_2","ball_pos_y_3","ball_pos_z_2","ball_pos_z_3","timestamp3","timestamp2","ball_distance_xy","ball_distance_delta","time_diff","exit_velo","launch_angle","spray_angle","to_base","""game_play""","binary","what_to_track","catch","ball_height","next_ball_position_x","next_ball_position_y","next_ball_position_z","fielder_col_name_x","fielder_col_name_y","current_fielder_pos_x","current_fielder_pos_y","current_fielding_pos_z","fielder_dist_from_ball","momentumx","momentumy","binary2"
1474,52386,"1900_05_TeamKK_TeamB",26,1027408,17.8233,19.3509,NA,NA,44.6211,69.4872,19.4379,142.8486,-64.374,80.3538,-29.1855,136.6521,-114.6966,223.8597,-5.2827,297.7275,80.5515,206.085,45.5259,31.9662,NA,NA,-60.9507,62.0082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_05_TeamKK_TeamB 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6151781302579,"game_play",0,"RF",NA,NA,NA,NA,NA,"rf_field_x","rf_field_y",80.5515,206.085,6,NA,0.720299999999995,1.4598,0
1751,61836,"1900_05_TeamKK_TeamB",171,6537249,-13.2231,14.9031,-0.033,-0.5193,26.5695,58.9581,29.9706,173.9898,-51.117,66.3279,-9.3741,130.5243,-121.4565,205.0206,54.4203,325.7385,91.1286,314.7816,56.9694,50.6178,-9.6828,124.6026,-61.0011,62.6316,NA,NA,91.9992,311.856,0,NA,171,"RF","ball acquired","TeamB","TeamKK",NA,6,"Top",2098,1041,2196,1201,2653,2614,2488,2061,2279,9235,0,0,0,"TeamKK","TeamB","1900_05_TeamKK_TeamB 171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7726908481967,"game_play",0,"RF",NA,NA,NA,NA,NA,"rf_field_x","rf_field_y",91.1286,314.7816,6,3.05238918226365,0.509399999999999,-1.45620000000002,0
2034,67196,"1900_06_TeamKL_TeamB",55,1396956,-13.2114,27.2442,NA,NA,40.6428,72.5781,NA,NA,NA,NA,-27.3981,157.3902,-118.836,273.4716,-53.1876,304.3044,117.0303,243.0246,53.9097,44.6643,NA,NA,-60.8487,62.9304,NA,NA,-55.9488,289.5471,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_06_TeamKL_TeamB 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4653719384721,"game_play",0,"CF",NA,NA,-56.0532,290.4714,0,"cf_field_x","cf_field_y",-53.1876,304.3044,6,15.0133983071788,1.8075,1.5249,0
2035,67197,"1900_06_TeamKL_TeamB",55,1396989,-13.4601,26.9286,NA,NA,40.5237,72.5166,NA,NA,NA,NA,-27.1572,157.5738,-118.5213,273.6252,-53.7924,303.792,116.8977,242.937,54.3741,45.5739,NA,NA,-60.7677,62.1183,NA,NA,-56.0532,290.4714,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_06_TeamKL_TeamB 55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.444153671991,"game_play",0,"CF",NA,NA,-56.1495,291.3972,0,"cf_field_x","cf_field_y",-53.7924,303.792,6,13.5110917767588,1.8066,1.52880000000005,0
2289,75185,"1900_06_TeamKL_TeamB",166,5640191,-3.5892,19.296,1.3131,0.1503,48.9468,61.473,13.3395,161.8545,-67.8879,63.522,-10.8636,137.5749,-111.0984,212.8425,22.8096,241.8606,113.2431,236.8644,52.2891,39.6744,NA,NA,-60.5643,62.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_06_TeamKL_TeamB 166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6672358108543,"game_play",0,"CF",NA,NA,NA,NA,NA,"cf_field_x","cf_field_y",22.8096,241.8606,6,NA,-0.2685,1.67429999999999,0
2290,75186,"1900_06_TeamKL_TeamB",166,5640224,-3.6714,18.6312,1.3176,0.2007,48.3444,61.4193,13.3179,161.8314,-67.8699,63.3963,-10.6284,137.3328,-110.9244,212.5896,22.8693,241.3041,113.0217,236.5083,52.8327,40.3284,NA,NA,-60.3591,62.1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_06_TeamKL_TeamB 166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8470407865806,"game_play",0,"CF",NA,NA,NA,NA,NA,"cf_field_x","cf_field_y",22.8693,241.3041,6,NA,-0.223199999999999,1.6722,0
2500,97501,"1900_08_TeamKL_TeamB",161,5798450,4.7214,38.5194,NA,NA,60.4422,65.3748,-4.0263,128.1339,-57.5664,81.6603,-88.0791,134.1126,-130.6719,197.3109,-12.5562,284.3505,115.6617,222.5502,35.6445,32.0781,9.0816,121.2192,-61.0119,62.1918,NA,NA,-91.6878,126.6618,0.1137255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_08_TeamKL_TeamB 161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2854366557991,"game_play",0,"SS",NA,NA,-92.337,126.7854,0.2778,"ss_field_x","ss_field_y",-88.0791,134.1126,6,8.27871586237864,2.2299,-0.0782999999999845,0
2927,100438,"1900_08_TeamKL_TeamB",219,8200759,12.6891,-2.0043,13.6734,8.886,58.9011,90.3681,0.6363,125.8689,-13.9302,61.2516,-67.8318,63.6102,-137.1588,177.7563,-11.463,270.2139,NA,NA,73.7871,52.0545,50.5848,79.4535,-61.953,62.8587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_08_TeamKL_TeamB 219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3676770092295,"game_play",0,"3B",NA,NA,NA,NA,NA,"3b_field_x","3b_field_y",-13.9302,61.2516,6,NA,0.335099999999999,0.179099999999998,0
2928,100439,"1900_08_TeamKL_TeamB",219,8200792,12.4485,-1.8894,13.464,8.8158,58.8069,90.3447,0.63,125.9109,-14.043,61.1862,-68.0571,63.723,-137.1606,177.0696,-11.5425,269.8902,NA,NA,73.8057,51.9375,50.2728,79.896,-62.0178,62.679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_08_TeamKL_TeamB 219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4642186592146,"game_play",0,"3B",NA,NA,NA,NA,NA,"3b_field_x","3b_field_y",-14.043,61.1862,6,NA,0.3369,0.187800000000003,0
2929,100440,"1900_08_TeamKL_TeamB",219,8200825,12.2109,-1.7787,13.254,8.7456,58.713,90.3192,0.6237,125.9523,-14.1567,61.1178,-68.2863,63.8379,-137.1348,176.3823,-11.6202,269.568,NA,NA,73.8237,51.8184,49.9482,80.3583,-62.0799,62.4957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_08_TeamKL_TeamB 219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5621547431582,"game_play",0,"3B",NA,NA,NA,NA,NA,"3b_field_x","3b_field_y",-14.1567,61.1178,6,NA,0.339,0.1965,0
2930,100441,"1900_08_TeamKL_TeamB",219,8200858,11.9685,-1.6686,13.0383,8.6733,58.6191,90.291,0.6171,125.9931,-14.271,61.0464,-68.5179,63.9543,-137.0937,175.7751,-11.6961,269.247,NA,NA,73.8414,51.6978,49.6122,80.838,-62.1381,62.3094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_08_TeamKL_TeamB 219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6612796028932,"game_play",0,"3B",NA,NA,NA,NA,NA,"3b_field_x","3b_field_y",-14.271,61.0464,6,NA,0.340800000000002,0.205200000000005,0
2931,100442,"1900_08_TeamKL_TeamB",219,8200891,11.7303,-1.5627,12.8301,8.6034,58.5252,90.2601,0.6105,126.0336,-14.3862,60.972,-68.7504,64.0707,-137.0442,175.1946,-11.7696,268.9272,NA,NA,73.8594,51.5751,49.2663,81.3327,-62.1918,62.1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_08_TeamKL_TeamB 219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7624524858919,"game_play",0,"3B",NA,NA,NA,NA,NA,"3b_field_x","3b_field_y",-14.3862,60.972,6,NA,0.343200000000001,0.214199999999998,0
3168,106118,"1900_09_TeamKK_TeamB",57,1809833,33.3819,63.9156,0.2967,1.6869,60.729,65.1573,80.8155,140.7927,-69.5724,71.7885,-2.7693,131.1213,-113.5563,213.7371,-1.968,263.4198,101.0931,198.1734,NA,NA,NA,NA,-64.1451,62.8047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_09_TeamKK_TeamB 57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_play",0,"2B",NA,NA,NA,NA,NA,"2b_field_x","2b_field_y",80.8155,140.7927,6,NA,-0.502200000000002,0.309600000000017,0
3169,106119,"1900_09_TeamKK_TeamB",57,1809866,33.5142,64.026,0.3672,1.6941,60.6801,65.1489,80.7648,140.4039,-69.5274,71.7198,-2.6484,130.9203,-113.4561,213.6087,-1.812,263.1684,101.001,197.6241,NA,NA,NA,NA,-64.0893,62.3556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_09_TeamKK_TeamB 57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_play",0,"2B",NA,NA,NA,NA,NA,"2b_field_x","2b_field_y",80.7648,140.4039,6,NA,-0.2928,0.612300000000005,0
3589,110676,"1900_09_TeamKK_TeamB",130,4614738,-19.7583,24.4083,NA,NA,24.9264,88.7862,34.4409,181.5717,-70.599,66.8205,-3.0684,144.975,-124.8543,203.337,67.3359,367.335,86.2893,341.3031,61.8606,65.4018,-43.5246,110.328,-61.3887,62.2911,NA,NA,80.0235,375.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1900_09_TeamKK_TeamB 130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2987518559114,"game_play",0,"CF",NA,NA,80.1585,375.66,0,"cf_field_x","cf_field_y",67.3359,367.335,6,15.1585691527928,-0.725699999999989,-0.599699999999984,0
3799,122457,"1901_01_TeamLG_TeamA3",152,5056172,-2.7021,18.0627,2.5146,0.9813,28.3578,69.1353,34.8294,145.2351,-64.2561,75.7944,-30.9627,131.1645,-99.7791,233.5467,63.7365,302.5527,76.8834,243.9066,41.9121,32.2755,NA,NA,-60.4023,62.8182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_01_TeamLG_TeamA3 152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2651905490902,"game_play",0,"RF",NA,"fielder has it",NA,NA,NA,"rf_field_x","rf_field_y",76.8834,243.9066,6,NA,0.700800000000001,1.203,0
3962,133324,"1901_02_TeamLG_TeamA3",251,9568441,-15.2751,38.142,-0.2571,1.3509,41.274,71.0397,58.7112,143.2185,-64.9377,84.6783,-5.0478,137.0817,-118.0275,227.8191,34.1088,293.8194,93.7602,216.0783,46.2492,35.3775,NA,NA,-61.5852,62.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_02_TeamLG_TeamA3 251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3046715954519,"game_play",0,"RF",NA,"fielder has it",NA,NA,NA,"rf_field_x","rf_field_y",93.7602,216.0783,6,NA,1.797,2.96369999999999,0
4123,134000,"1901_02_TeamLG_TeamA3",268,10361240,13.8015,52.6713,-0.105,-1.1163,43.8057,62.3019,47.0166,134.154,-66.8394,78.0072,5.9037,130.3662,-106.7643,217.6968,27.6594,283.6362,70.1484,219.0453,50.2425,45.1416,1.0413,125.7162,-62.6232,62.4204,NA,NA,69.444,217.395,-0.778899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_02_TeamLG_TeamA3 268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9471241125119,"game_play",0,"RF",NA,"ground",69.9018,219.0498,-0.86478,"rf_field_x","rf_field_y",70.1484,219.0453,6,1.79434373797217,2.1408,1.7022,0
4344,153858,"1901_04_TeamLI_TeamA3",283,9423160,-11.5359,29.5965,0.3045,-5.1687,52.0713,86.1918,6.0843,149.1096,-64.8096,83.178,-42.4566,169.416,-108.3387,283.6293,-32.3328,337.5243,93.066,240.4995,52.6782,37.5657,2.7876,124.0554,-60.0324,62.4348,NA,NA,-61.8789,364.248,3.4782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_04_TeamLI_TeamA3 283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4489193180715,"game_play",0,"CF",NA,"ground",-61.9236,366.921,4.2867,"cf_field_x","cf_field_y",-32.3328,337.5243,6,39.8387771762638,1.9878,-2.57729999999998,0
4813,161358,"1901_05_TeamLI_TeamA3",225,7619948,6.5142,47.1309,2.4063,-2.6607,39.4977,75.0525,-18.8172,158.9814,-68.5065,82.0176,-55.8867,145.8396,-111.2025,272.6283,-31.2288,348.6486,101.2773,253.6617,51.3534,35.7828,-3.312,126.8226,-60.39,62.8461,-25.1481,24.066,-86.2509,332.628,13.07028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_05_TeamLI_TeamA3 225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6043791929505,"game_play",0,"CF",NA,"air",-86.9442,334.995,10.7976,"cf_field_x","cf_field_y",-31.2288,348.6486,6,57.3069900864633,2.3736,-1.85820000000001,1
5083,169768,"1901_06_TeamLI_TeamA3",106,3605831,-8.5041,24.0999,-0.2913,-2.8995,48.5904,97.6419,2.3178,130.6344,-50.397,63.9915,-64.1805,163.728,-109.5021,281.6127,-84.9942,277.239,103.2786,241.9356,61.1673,50.3169,NA,NA,-60.1209,62.5716,NA,NA,-96.3849,269.1972,-0.568806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_06_TeamLI_TeamA3 106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8148279309556,"game_play",0,"CF",NA,"ground",-95.3529,268.9191,-0.62961,"cf_field_x","cf_field_y",-84.9942,277.239,6,13.9434068193537,1.61580000000001,2.3775,0
5265,174929,"1901_07_TeamLK_TeamB",23,709153,31.8255,51.9822,-0.2613,-2.1612,76.4217,73.137,40.4655,146.445,-76.8696,90.0513,-22.2096,140.3253,-152.7243,247.1313,-6.4011,307.9254,183.5391,215.742,49.1586,38.496,-5.5938,126.7011,-61.7469,62.6274,NA,NA,173.6529,170.3712,0.446733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_07_TeamLK_TeamB 23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.143034128537,"game_play",0,"RF",NA,"ground",175.0986,171.5004,0.460887,"rf_field_x","rf_field_y",183.5391,215.742,6,46.4354007528739,-3.56879999999998,1.81710000000001,0
5498,177531,"1901_07_TeamLK_TeamB",101,3441001,11.5776,45.4809,-0.831,-0.0975,108.1509,104.8776,96.5991,140.5233,-73.8396,82.7268,-13.2057,143.4432,-148.8576,243.2208,29.0772,292.416,144.4032,177.6366,48.7575,36.3258,-3.2706,127.1436,-62.0928,62.7447,NA,NA,127.6887,131.2935,-0.352563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1901_07_TeamLK_TeamB 101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2384151682921,"game_play",0,"RF",NA,"ground",128.4423,131.9421,-0.331248,"rf_field_x","rf_field_y",144.4032,177.6366,6,49.2651745948393,-0.195599999999985,4.00230000000002,0
